[2026-01-23 02:09:25] [youtube] [Capio] @StuD820: His disabilit is liking Ron
[2026-01-23 02:12:38] [youtube] [Capio] @bmore.Roncer: I'm roncing non stop
[2026-01-23 02:15:47] [youtube] [Capio] @StuD820: roncer behaviour
[2026-01-24 23:40:03] [youtube] [Capio] @bmore.Roncer: I'm roncing non stop
[2026-01-26 12:30:37] [YouTube] [Auto Injector] @vikingprepper9847: RON NEW CHANEL LINK HIS GIRLFREND
[2026-01-26 12:36:53] [YouTube] [Auto Injector] @vikingprepper9847: RON NEW CHANEL LINK HIS GIRLFREND
[2026-01-26 12:42:29] [YouTube] [Auto Injector] @Jules-f9g: only good thing about ron is he doesn't sell his tsla
[2026-01-26 12:42:42] [YouTube] [Auto Injector] @davidpershing9934: ron is narcoleptic - not an alcoholic !
[2026-01-26 12:44:27] [YouTube] [Auto Injector] @Digicalnomad: Ron has teeth like hes been chewing on rocks
[2026-01-26 16:58:08] [YouTube] [Auto Injector] @Primo169-m1l: Stop drinking Ron
[2026-01-26 23:00:20] [youtube] [365-NC-17] @bmore.Roncer: jermaine a Roncer
[2026-01-27 22:28:30] [YouTube] [@capio78] @bmore.Roncer: Colin a Roncer
[2026-01-27 22:37:26] [YouTube] [@capio78] @cheapercharlie: what happened to our daily ron rants?
[2026-01-27 22:46:10] [YouTube] [@capio78] @bmore.Roncer: Colin a Roncer
[2026-01-27 22:46:10] [YouTube] [@capio78] @bmore.Roncer: Colin a Roncer
[2026-01-27 22:46:10] [YouTube] [@capio78] @bmore.Roncer: Colin a Roncer
[2026-01-27 22:46:10] [YouTube] [@capio78] @bmore.Roncer: Colin a Roncer
[2026-01-27 22:46:10] [YouTube] [@capio78] @bmore.Roncer: Colin a Roncer
[2026-01-27 22:46:10] [YouTube] [@capio78] @bmore.Roncer: Colin a Roncer
[2026-01-27 22:46:10] [YouTube] [@capio78] @bmore.Roncer: Colin a Roncer
[2026-01-27 22:46:10] [YouTube] [@capio78] @bmore.Roncer: Colin a Roncer
[2026-01-27 22:46:10] [YouTube] [@capio78] @bmore.Roncer: Colin a Roncer
[2026-01-27 22:46:10] [YouTube] [@capio78] @bmore.Roncer: Colin a Roncer
[2026-01-27 22:46:10] [YouTube] [@capio78] @bmore.Roncer: Colin a Roncer
[2026-01-27 22:46:10] [YouTube] [@capio78] @bmore.Roncer: Colin a Roncer
[2026-01-27 22:46:10] [YouTube] [@capio78] @bmore.Roncer: Colin a Roncer
[2026-01-27 22:46:10] [YouTube] [@capio78] @bmore.Roncer: Colin a Roncer
[2026-01-27 22:46:10] [YouTube] [@capio78] @bmore.Roncer: Colin a Roncer
[2026-01-27 23:15:05] [YouTube] [@StuD820] @cheapercharlie: ron ron ron
[2026-01-27 23:29:48] [YouTube] [@StuD820] @cheapercharlie: ron ron ron
[2026-01-30 23:21:56] [youtube] [Stu D] @bmore.Roncer: I'm roncing non stop I can't help it
[2026-01-30 23:44:52] [youtube] [Stu D] @capio78: Ron only started his own channel because nobody would let him on their channel
